date,campaign,impressions,adClicks,adCost,cpc
2016-09-10,ALI - MASTER - MARKETING ONLINE,7.0,0.0,0.0,0.0
2016-09-10,AND - MASTER - ANALITICA WEB,9.0,0.0,0.0,0.0
2016-09-10,AND - MASTER - SEO y SEM,26.0,0.0,0.0,0.0
2016-09-10,BCN - MASTER - ANALITICA WEB,8.0,0.0,0.0,0.0
2016-09-10,BCN - MASTER - MARKETING ONLINE,9.0,0.0,0.0,0.0
2016-09-10,BCN - MASTER - SEO y SEM,7.0,2.0,32.92,16.46
2016-09-10,BCN - MASTER - UX,9.0,0.0,0.0,0.0
2016-09-10,MAD - CURSO - APACHE FLINK,2.0,0.0,0.0,0.0
2016-09-10,MAD - CURSO - ESTADISTICA,18.0,1.0,0.49,0.49
2016-09-10,MAD - CURSO - HADOOP & SPARK,27.0,0.0,0.0,0.0
2016-09-10,MAD - CURSO - MK CONTENIDO PERIODISTAS,9.0,1.0,3.03,3.03
2016-09-10,MAD - CURSO - OPEN STACK,20.0,2.0,1.05,0.525
2016-09-10,MAD - CURSO - PROGRAMACION,57.0,2.0,2.4,1.2
2016-09-10,MAD - CURSO - R,34.0,0.0,0.0,0.0
2016-09-10,MAD - CURSO - SOLUCIONES NEGOCIO,7.0,0.0,0.0,0.0
2016-09-10,MAD - MASTER - ANALITICA WEB,11.0,2.0,18.0,9.0
2016-09-10,MAD - MASTER - BIG DATA,24.0,1.0,7.74,7.74
2016-09-10,MAD - MASTER - DATA SCIENCE,37.0,2.0,8.47,4.235
2016-09-10,MAD - MASTER - MARKETING ONLINE,3.0,1.0,7.45,7.45
2016-09-10,MAD - MASTER - SEO y SEM,28.0,1.0,5.51,5.51
2016-09-10,MAD - MASTER - UX,10.0,0.0,0.0,0.0
2016-09-10,NAC - MASTER - ANALITICA WEB,6.0,0.0,0.0,0.0
2016-09-10,NAC - MASTER - BIG DATA,22.0,1.0,16.11,16.11
2016-09-10,NAC - MASTER - DATA SCIENCE,62.0,1.0,9.19,9.19
2016-09-10,NAC - MASTER - MARKETING ONLINE,18.0,1.0,11.18,11.18
2016-09-10,NAC - MASTER - SEO y SEM,34.0,0.0,0.0,0.0
2016-09-10,NAC - MASTER - UX,26.0,5.0,20.34,4.068
2016-09-10,VAL - MASTER - SEO y SEM,2.0,1.0,4.62,4.62
2016-09-11,0 - MARCA,10.0,3.0,0.09,0.03
2016-09-11,0 - MARCA BCN,4.0,2.0,0.09,0.045
2016-09-11,ALI - MASTER - MARKETING ONLINE,15.0,0.0,0.0,0.0
2016-09-11,AND - MASTER - ANALITICA WEB,7.0,0.0,0.0,0.0
2016-09-11,AND - MASTER - MARKETING ONLINE,11.0,0.0,0.0,0.0
2016-09-11,AND - MASTER - SEO y SEM,28.0,0.0,0.0,0.0
2016-09-11,BCN - MASTER - ANALITICA WEB,15.0,1.0,8.91,8.91
2016-09-11,BCN - MASTER - MARKETING ONLINE,15.0,1.0,7.43,7.43
2016-09-11,BCN - MASTER - SEO y SEM,6.0,1.0,15.92,15.92
2016-09-11,BCN - MASTER - UX,3.0,0.0,0.0,0.0
2016-09-11,MAD - CURSO - APACHE FLINK,9.0,1.0,0.68,0.68
2016-09-11,MAD - CURSO - ESTADISTICA,24.0,1.0,1.2,1.2
2016-09-11,MAD - CURSO - HADOOP & SPARK,5.0,1.0,1.17,1.17
2016-09-11,MAD - CURSO - MK CONTENIDO PERIODISTAS,7.0,1.0,1.22,1.22
2016-09-11,MAD - CURSO - OPEN STACK,4.0,1.0,1.09,1.09
2016-09-11,MAD - CURSO - PROGRAMACION,32.0,1.0,1.19,1.19
2016-09-11,MAD - CURSO - R,20.0,1.0,0.65,0.65
2016-09-11,MAD - CURSO - SOLUCIONES NEGOCIO,6.0,0.0,0.0,0.0
2016-09-11,MAD - MASTER - ANALITICA WEB,17.0,1.0,3.13,3.13
2016-09-11,MAD - MASTER - BIG DATA,8.0,1.0,21.26,21.26
2016-09-11,MAD - MASTER - DATA SCIENCE,11.0,1.0,21.08,21.08
2016-09-11,MAD - MASTER - MARKETING ONLINE,19.0,1.0,6.61,6.61
2016-09-11,MAD - MASTER - SEO y SEM,5.0,1.0,5.67,5.67
2016-09-11,MAD - MASTER - UX,11.0,1.0,21.02,21.02
2016-09-11,NAC - MASTER - ANALITICA WEB,14.0,0.0,0.0,0.0
2016-09-11,NAC - MASTER - BIG DATA,16.0,0.0,0.0,0.0
2016-09-11,NAC - MASTER - DATA SCIENCE,8.0,0.0,0.0,0.0
2016-09-11,NAC - MASTER - MARKETING ONLINE,19.0,1.0,14.09,14.09
2016-09-11,NAC - MASTER - SEO y SEM,5.0,0.0,0.0,0.0
2016-09-11,NAC - MASTER - UX,16.0,0.0,0.0,0.0
2016-09-11,VAL - MASTER - SEO y SEM,20.0,1.0,4.22,4.22
