date,ciudad,programa,nombre,users,newUsers,bounces,impressions,adClicks,adCost,cpc,ctr
2017-01-26,MAD,MASTER,MARKETING ONLINE,1.0,0.0,0.0,17.0,1.0,17.91,17.91,0.06
2017-01-26,MAD,MASTER,SEO y SEM,8.0,6.0,6.0,165.0,7.0,46.26,6.6085714285714285,0.04
2017-01-26,MAD,MASTER,UX,5.0,4.0,3.0,48.0,6.0,30.78,5.13,0.12
2017-01-26,NAC,MASTER,BIG DATA,1.0,1.0,0.0,27.0,1.0,4.47,4.47,0.04
2017-01-26,NAC,MASTER,DATA SCIENCE,3.0,3.0,2.0,49.0,3.0,6.68,2.2266666666666666,0.06
2017-01-26,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,10.0,1.0,7.79,7.79,0.1
2017-01-26,NAC,MASTER,SEO y SEM,4.0,3.0,3.0,212.0,4.0,19.75,4.9375,0.02
2017-01-26,NAC,MASTER,UX,2.0,1.0,1.0,85.0,5.0,11.09,2.218,0.06
2017-01-27,ALI,MASTER,MARKETING ONLINE,1.0,1.0,1.0,8.0,1.0,4.49,4.49,0.12
2017-01-27,BCN,MASTER,ANALITICA WEB,1.0,1.0,1.0,28.0,1.0,7.98,7.98,0.04
2017-01-27,BCN,MASTER,MARKETING ONLINE,1.0,1.0,1.0,6.0,1.0,8.34,8.34,0.17
2017-01-27,BCN,MASTER,SEO y SEM,2.0,2.0,2.0,62.0,2.0,8.34,4.17,0.03
2017-01-27,BCN,MASTER,UX,2.0,2.0,2.0,53.0,2.0,4.96,2.48,0.04
2017-01-27,MAD,CURSO,ESTADISTICA,1.0,1.0,1.0,43.0,1.0,1.16,1.16,0.02
2017-01-27,MAD,CURSO,INTRO BLOCKCHAIN,7.0,6.0,5.0,640.0,10.0,8.13,0.813,0.02
2017-01-27,MAD,CURSO,PROGRAMACION,3.0,2.0,2.0,37.0,4.0,25.94,6.485,0.11
2017-01-27,MAD,MASTER,ANALITICA WEB,1.0,0.0,1.0,8.0,1.0,15.65,15.65,0.12
2017-01-27,MAD,MASTER,BIG DATA,3.0,3.0,1.0,98.0,3.0,29.91,9.97,0.03
2017-01-27,MAD,MASTER,DATA SCIENCE,2.0,1.0,2.0,35.0,2.0,12.02,6.01,0.06
2017-01-27,MAD,MASTER,MARKETING ONLINE,2.0,2.0,2.0,66.0,2.0,13.28,6.64,0.03
2017-01-27,MAD,MASTER,SEO y SEM,7.0,6.0,5.0,77.0,6.0,56.88,9.48,0.08
2017-01-27,MAD,MASTER,UX,6.0,2.0,3.0,70.0,4.0,23.38,5.845,0.06
2017-01-27,NAC,MASTER,ANALITICA WEB,1.0,1.0,0.0,6.0,1.0,12.05,12.05,0.17
2017-01-27,NAC,MASTER,BIG DATA,1.0,1.0,0.0,41.0,2.0,20.8,10.4,0.05
2017-01-27,NAC,MASTER,DATA SCIENCE,2.0,2.0,2.0,25.0,2.0,37.8,18.9,0.08
2017-01-27,NAC,MASTER,MARKETING ONLINE,1.0,1.0,1.0,47.0,1.0,14.28,14.28,0.02
2017-01-27,NAC,MASTER,SEO y SEM,1.0,1.0,0.0,115.0,2.0,12.29,6.145,0.02
2017-01-27,NAC,MASTER,UX,2.0,2.0,1.0,79.0,4.0,16.36,4.09,0.05
2017-01-28,BCN,MASTER,ANALITICA WEB,1.0,0.0,1.0,2.0,1.0,6.81,6.81,0.5
2017-01-28,BCN,MASTER,SEO y SEM,1.0,1.0,0.0,27.0,1.0,6.81,6.81,0.04
2017-01-28,BCN,MASTER,UX,2.0,2.0,2.0,24.0,2.0,6.26,3.13,0.08
2017-01-28,MAD,CURSO,INTRO BLOCKCHAIN,14.0,14.0,11.0,692.0,20.0,14.52,0.726,0.03
2017-01-28,MAD,CURSO,PROGRAMACION,2.0,2.0,1.0,61.0,3.0,12.59,4.196666666666667,0.05
2017-01-28,MAD,MASTER,ANALITICA WEB,2.0,1.0,0.0,19.0,2.0,14.88,7.44,0.11
2017-01-28,MAD,MASTER,BIG DATA,5.0,4.0,4.0,97.0,4.0,31.21,7.8025,0.04
2017-01-28,MAD,MASTER,DATA SCIENCE,3.0,1.0,2.0,27.0,3.0,33.05,11.016666666666666,0.11
2017-01-28,MAD,MASTER,SEO y SEM,3.0,1.0,3.0,72.0,1.0,7.54,7.54,0.01
2017-01-28,MAD,MASTER,UX,4.0,2.0,3.0,6.0,3.0,27.51,9.17,0.5
2017-01-28,NAC,MASTER,ANALITICA WEB,2.0,1.0,0.0,29.0,3.0,12.56,4.1866666666666665,0.1
